,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt,Sentiment Score
2011-01-07,704.32,787.834,2064.577,795.919,2079.95,1644.57,1147.14,723.9515,0.017806
2011-01-10,703.763,791.585,2066.656,795.864,2081.11,1631.6,1136.2,722.496,0.004044
2011-01-11,706.523,794.756,2065.328,796.552,2082.59,1640.36,1143.14,722.4571,-0.01407
2011-01-12,712.684,801.365,2064.119,797.788,2084.78,1668.49,1163.07,723.8409,-0.019137
2011-01-13,711.586,800.65,2070.288,799.007,2086.88,1692.31,1163.03,725.2451,-0.008424
2011-01-14,716.707,807.569,2066.704,799.55,2089.9,1688.94,1160.03,725.0929,-0.018544
2011-01-18,718.259,807.559,2065.017,800.51,2093.41,1705.0,1159.0,724.7039,-0.023492
2011-01-19,710.429,786.886,2069.529,800.927,2095.24,1705.37,1161.19,725.5234,-0.026453
2011-01-20,708.95,778.082,2056.992,800.491,2095.62,1672.17,1143.16,722.5515,-0.022743
2011-01-21,710.235,773.184,2063.083,801.037,2096.51,1688.58,1136.65,720.9347,-0.031384
2011-01-24,714.701,779.275,2065.823,802.299,2098.78,1704.02,1136.69,721.8808,-0.003808
2011-01-25,714.906,779.959,2075.467,803.48,2100.3,1701.66,1135.92,723.1357,-0.006177
2011-01-26,718.513,793.725,2063.966,804.145,2102.24,1710.98,1142.49,722.6573,-0.007178
2011-01-27,720.317,795.433,2069.777,805.129,2103.99,1715.65,1141.82,722.1376,-0.014823
2011-01-28,707.537,775.398,2074.452,805.552,2104.51,1694.83,1126.29,720.6566,-0.033281
2011-01-31,712.965,781.251,2069.338,805.624,2105.37,1696.38,1119.08,716.4699,-0.024757
2011-02-01,724.779,798.892,2064.4,806.391,2106.73,1725.24,1130.74,718.6063,-0.016077
2011-02-02,722.901,796.156,2060.476,807.425,2107.55,1736.89,1135.32,719.8552,0.004777
2011-02-03,724.682,798.632,2056.493,808.208,2109.03,1722.97,1133.12,719.9646,0.005638
2011-02-04,726.766,800.11,2048.011,809.291,2111.1,1723.5,1129.69,718.6395,0.007701
2011-02-07,731.419,808.319,2052.136,810.969,2113.4,1733.31,1128.27,718.3208,0.003445
2011-02-08,734.477,813.686,2045.23,811.778,2115.12,1747.52,1126.94,717.6433,0.015004
2011-02-09,732.4,809.274,2054.379,811.991,2115.96,1740.72,1110.32,716.519,0.006763
2011-02-10,733.282,812.702,2046.73,811.456,2115.57,1725.59,1089.28,714.7915,0.003115
2011-02-11,737.573,822.113,2053.1,811.742,2115.64,1723.88,1091.16,714.9539,-0.013985
2011-02-14,739.669,825.9,2057.79,812.661,2116.43,1727.59,1105.58,714.4509,-0.007582
2011-02-15,737.035,820.025,2058.759,812.976,2116.79,1732.37,1104.1,714.0579,-0.013456
2011-02-16,741.827,828.373,2058.385,813.389,2117.03,1740.02,1108.58,713.8205,-0.018139
2011-02-17,744.197,834.02,2063.917,814.816,2117.29,1753.83,1111.92,715.3322,-0.027142
2011-02-18,745.313,834.825,2062.517,815.618,2117.59,1758.97,1122.01,716.0567,-0.049156
2011-02-22,729.6,812.963,2075.965,816.183,2118.03,1731.55,1101.66,717.6264,-0.063665
2011-02-23,724.528,799.647,2072.574,815.224,2116.64,1721.79,1096.0,716.061,-0.05942
2011-02-24,723.976,804.181,2076.713,814.485,2114.53,1714.78,1087.1,716.6353,-0.053967
2011-02-25,732.442,821.945,2079.166,815.127,2114.21,1731.57,1099.46,718.0495,-0.058143
2011-02-28,736.238,823.448,2084.0,816.395,2115.12,1749.01,1107.77,719.9103,-0.060868
2011-03-01,724.538,807.078,2084.911,817.361,2115.14,1748.25,1112.15,721.2541,-0.056688
2011-03-02,725.911,810.899,2078.676,817.249,2113.98,1736.23,1113.31,721.6485,-0.062867
2011-03-03,738.573,828.891,2068.105,817.687,2113.65,1743.22,1127.45,722.0212,-0.064913
2011-03-04,733.242,824.987,2077.556,818.015,2113.8,1745.76,1138.47,723.6647,-0.066527
2011-03-07,726.812,812.254,2077.509,818.285,2113.82,1736.84,1132.02,725.378,-0.07055
2011-03-08,733.205,824.658,2072.962,818.267,2113.04,1728.43,1135.77,725.2066,-0.082056
2011-03-09,732.048,821.185,2081.042,818.463,2112.55,1728.44,1135.67,726.6464,-0.080393
2011-03-10,718.264,799.528,2088.347,817.175,2109.85,1694.76,1115.69,727.1468,-0.083313
2011-03-11,723.294,802.826,2088.208,816.505,2108.44,1686.08,1108.52,726.5712,-0.097985
2011-03-14,719.018,798.173,2093.454,816.705,2108.04,1658.17,1116.91,727.2176,-0.083958
2011-03-15,711.246,791.326,2092.014,813.128,2103.92,1597.15,1092.65,725.306,-0.110467
2011-03-16,698.072,781.897,2102.479,813.981,2102.66,1600.76,1096.33,727.3167,-0.124082
2011-03-17,706.854,785.521,2097.781,814.438,2101.74,1628.9,1091.45,726.4148,-0.14078
2011-03-18,709.938,794.664,2097.031,815.924,2103.14,1640.99,1098.6,727.2417,-0.14282
2011-03-21,720.857,813.015,2094.033,817.304,2104.8,1666.85,1110.15,727.945,-0.118287
2011-03-22,718.147,808.657,2094.377,817.701,2106.49,1683.86,1120.09,728.574,-0.124782
2011-03-23,720.082,811.236,2092.895,817.782,2106.58,1680.3,1123.62,727.6635,-0.131853
2011-03-24,726.944,817.097,2088.749,818.046,2107.54,1697.54,1134.71,729.521,-0.132508
2011-03-25,729.597,823.85,2084.431,818.205,2108.94,1696.89,1143.94,729.8363,-0.141628
2011-03-28,727.412,821.765,2085.31,818.781,2110.83,1691.83,1138.36,730.2022,-0.138337
2011-03-29,732.671,829.486,2079.87,818.689,2111.57,1684.54,1142.56,729.9184,-0.147933
2011-03-30,737.976,840.371,2083.633,819.4,2113.68,1702.66,1159.52,729.4977,-0.160456
2011-03-31,737.066,843.549,2084.574,819.825,2114.82,1702.55,1170.87,729.78,-0.151603
2011-04-01,740.932,846.773,2085.653,821.122,2118.01,1709.08,1185.12,731.7208,-0.163088
2011-04-04,741.236,849.357,2089.426,822.628,2119.51,1719.51,1193.13,733.0954,-0.126991
2011-04-05,741.375,853.312,2085.273,822.973,2119.92,1712.84,1194.83,733.4409,-0.124734
2011-04-06,742.635,854.171,2080.65,824.204,2120.92,1723.46,1203.47,733.6412,-0.128551
2011-04-07,741.229,849.436,2080.785,824.988,2121.26,1717.73,1202.24,733.9919,-0.113394
2011-04-08,738.162,840.886,2080.234,825.487,2122.14,1740.76,1206.03,734.1428,-0.120276
2011-04-11,735.814,833.857,2081.641,826.261,2122.87,1740.99,1200.24,734.0842,-0.117915
2011-04-12,729.908,822.268,2089.169,825.845,2122.44,1718.8,1177.31,733.9144,-0.129483
2011-04-13,730.44,823.916,2093.441,826.271,2122.99,1730.89,1185.32,733.645,-0.130906
2011-04-14,730.504,827.466,2091.645,826.358,2123.56,1724.81,1182.21,733.1598,-0.140225
2011-04-15,733.754,834.983,2101.046,826.812,2124.76,1721.6,1181.57,734.4036,-0.155227
2011-04-18,725.4,821.513,2104.773,826.758,2124.52,1685.75,1162.08,734.475,-0.14677
2011-04-19,729.575,823.012,2106.981,826.843,2124.32,1693.04,1166.41,734.5106,-0.164674
2011-04-20,739.742,839.453,2103.441,827.776,2124.71,1737.57,1194.99,734.657,-0.156537
2011-04-21,743.873,845.64,2102.895,828.354,2125.27,1756.24,1205.9,735.4605,-0.141588
2011-04-25,742.791,844.226,2107.879,829.319,2126.63,1751.51,1203.75,736.0038,-0.101673
2011-04-26,749.478,853.043,2114.871,829.935,2127.09,1759.81,1203.33,736.8327,-0.09477
2011-04-27,754.14,858.307,2109.358,830.187,2128.0,1762.67,1202.43,735.8508,-0.093389
2011-04-28,756.584,861.55,2116.362,830.884,2128.62,1792.8,1200.71,737.5346,-0.083836
2011-04-29,758.45,865.291,2119.669,832.038,2128.61,1797.52,1204.03,739.7716,-0.082
2011-05-02,756.989,854.774,2121.876,833.235,2128.62,1809.61,1206.49,740.74,-0.028065
2011-05-03,753.674,843.766,2126.234,833.484,2129.08,1796.57,1185.76,741.5782,-0.034387
2011-05-04,748.4,832.904,2129.582,834.006,2129.27,1779.32,1170.93,742.8658,-0.049303
2011-05-05,742.174,829.24,2135.278,834.021,2128.83,1755.56,1161.68,743.1479,-0.059371
2011-05-06,745.055,833.336,2135.893,834.62,2128.82,1755.85,1163.34,743.5229,-0.084014
2011-05-09,748.876,842.804,2137.594,835.324,2129.56,1731.26,1161.94,744.4715,-0.080627
2011-05-10,755.113,855.912,2132.264,835.535,2129.9,1750.71,1166.64,744.717,-0.094
2011-05-11,746.744,840.662,2137.054,836.131,2129.83,1748.82,1165.91,745.5698,-0.090038
2011-05-12,750.295,847.531,2131.125,835.676,2129.27,1725.1,1147.58,745.9378,-0.105746
2011-05-13,744.12,835.668,2135.882,835.849,2129.1,1718.07,1144.69,746.4368,-0.10263
2011-05-16,739.274,822.91,2141.139,836.759,2129.01,1711.88,1136.66,747.0035,-0.139878
2011-05-17,738.519,820.362,2144.656,836.678,2128.4,1692.07,1133.39,747.919,-0.129236
2011-05-18,745.559,833.447,2138.028,836.432,2127.6,1708.02,1142.47,748.9039,-0.13759
2011-05-19,747.101,835.16,2138.666,836.833,2127.92,1713.75,1140.42,749.5151,-0.149285
2011-05-20,741.641,829.06,2140.488,836.933,2128.04,1702.63,1140.55,749.756,-0.162686
2011-05-23,732.489,814.042,2142.514,836.226,2127.66,1661.43,1113.8,749.6138,-0.175974
2011-05-24,731.806,810.334,2143.341,836.163,2126.77,1669.59,1124.62,748.5558,-0.200992
2011-05-25,734.527,820.867,2140.634,835.457,2125.72,1673.23,1118.02,748.1759,-0.210046
2011-05-26,737.833,830.868,2148.652,835.507,2124.91,1684.84,1133.37,747.4841,-0.19475
2011-05-27,741.06,836.255,2147.678,835.367,2125.38,1708.5,1147.82,747.7934,-0.206989
2011-05-31,748.746,848.301,2150.32,836.356,2126.38,1732.84,1167.97,749.3531,-0.181448
2011-06-01,731.749,821.398,2158.68,836.875,2126.22,1727.19,1166.72,750.7085,-0.187405
2011-06-02,730.978,820.686,2147.451,835.583,2125.4,1701.51,1158.96,750.0854,-0.185253
2011-06-03,723.663,808.133,2150.574,834.309,2124.15,1704.72,1155.51,751.0688,-0.190664
2011-06-06,715.536,795.316,2148.971,834.23,2124.17,1698.74,1149.0,751.0382,-0.215505
2011-06-07,715.198,797.545,2149.042,833.277,2123.45,1705.53,1152.56,751.9324,-0.209881
2011-06-08,711.793,788.042,2154.484,831.946,2122.29,1686.91,1145.47,752.4018,-0.210873
2011-06-09,716.813,792.639,2149.117,830.397,2120.66,1689.5,1142.24,752.6641,-0.198737
2011-06-10,706.595,779.539,2152.439,829.86,2119.93,1662.91,1128.85,753.0014,-0.212779
2011-06-13,706.591,777.197,2149.443,828.692,2119.64,1664.25,1124.67,752.6349,-0.195549
2011-06-14,715.842,793.988,2137.867,828.174,2119.53,1686.57,1134.4,752.0898,-0.206575
2011-06-15,703.556,779.458,2151.265,827.811,2118.95,1658.81,1127.8,752.5503,-0.209153
2011-06-16,704.337,781.541,2155.074,825.104,2117.05,1631.59,1107.43,751.3677,-0.225062
2011-06-17,706.277,781.755,2150.702,824.392,2116.25,1646.73,1103.74,750.8414,-0.228562
2011-06-20,710.189,788.487,2149.811,822.821,2115.05,1638.95,1098.33,750.7933,-0.241584
2011-06-21,720.184,806.372,2148.607,823.113,2114.49,1666.7,1113.03,751.6545,-0.258837
2011-06-22,715.744,799.872,2147.846,824.327,2114.74,1671.86,1116.25,752.7046,-0.262253
2011-06-23,714.005,802.682,2155.217,823.227,2114.17,1628.03,1105.31,752.2295,-0.260147
2011-06-24,705.754,797.792,2156.624,823.155,2113.93,1633.62,1115.67,751.1066,-0.266456
2011-06-27,711.876,805.144,2146.182,822.392,2114.43,1634.73,1112.54,751.3392,-0.248877
2011-06-28,721.3,817.307,2135.38,822.332,2115.23,1650.02,1121.14,751.2011,-0.245947
2011-06-29,727.355,819.92,2132.46,824.594,2116.86,1680.66,1132.79,753.2933,-0.248364
2011-06-30,734.484,827.429,2132.413,827.955,2118.59,1708.08,1146.22,754.3791,-0.248185
2011-07-01,745.215,840.04,2130.805,829.135,2119.51,1716.47,1156.74,754.9548,-0.264195
2011-07-05,744.561,841.624,2138.53,831.439,2121.32,1722.64,1166.2,756.1426,-0.293913
2011-07-06,745.554,845.229,2143.019,831.979,2121.68,1710.84,1161.17,756.8184,-0.292769
2011-07-07,753.318,858.113,2139.321,833.928,2122.16,1718.77,1167.61,757.3326,-0.299013
2011-07-08,748.205,852.572,2154.592,834.674,2122.49,1707.35,1163.93,758.7309,-0.290837
2011-07-11,734.068,833.54,2163.059,833.006,2121.17,1665.71,1142.82,758.6372,-0.27923
2011-07-12,730.798,829.767,2163.082,831.788,2120.44,1652.04,1121.27,758.0479,-0.293417
2011-07-13,733.206,836.977,2165.509,833.154,2121.65,1679.7,1137.88,757.9179,-0.302925
2011-07-14,727.833,823.316,2158.916,833.47,2122.13,1666.87,1135.42,757.919,-0.315576
2011-07-15,732.177,828.783,2160.385,834.214,2122.51,1661.14,1135.6,758.3832,-0.340182
2011-07-18,725.673,815.973,2157.568,833.797,2122.51,1633.16,1122.39,758.4482,-0.345456
2011-07-19,737.729,834.623,2162.539,834.064,2122.31,1654.3,1129.0,759.4855,-0.383702
2011-07-20,737.206,832.338,2157.86,835.177,2122.77,1676.06,1136.79,759.7857,-0.366049
2011-07-21,746.819,841.261,2151.522,836.345,2123.45,1704.67,1143.29,760.6055,-0.358728
2011-07-22,747.837,841.819,2158.812,838.02,2124.11,1717.06,1153.18,761.7069,-0.370176
2011-07-26,740.16,824.832,2161.098,839.23,2124.55,1719.24,1156.56,762.8877,-0.413035
2011-07-27,724.49,800.529,2159.538,838.582,2124.04,1696.67,1148.99,763.2176,-0.420341
2011-07-28,722.068,799.344,2164.132,838.342,2122.86,1684.27,1145.4,764.8082,-0.425165
2011-07-29,717.77,797.028,2181.036,837.998,2121.18,1679.84,1137.73,769.0973,-0.433695
2011-08-01,714.796,792.85,2188.842,838.407,2120.95,1663.45,1147.6,772.626,-0.434029
2011-08-02,695.979,767.006,2203.534,836.277,2118.62,1635.03,1126.97,774.3318,-0.437182
2011-08-03,699.572,772.779,2205.101,833.852,2114.84,1606.71,1102.59,775.0287,-0.447098
2011-08-04,664.655,726.803,2217.118,828.72,2101.74,1547.43,1073.02,775.4126,-0.436241
2011-08-05,662.839,714.629,2200.581,822.795,2097.52,1513.23,1041.07,771.811,-0.442791
2011-08-08,617.281,650.963,2202.403,809.103,2073.31,1462.29,990.18,764.3734,-0.468101
2011-08-09,647.848,696.158,2212.192,802.586,2055.7,1471.04,968.51,764.373,-0.48566
2011-08-10,620.297,660.211,2210.408,800.112,2044.64,1442.47,980.74,764.1772,-0.47472
2011-08-11,649.443,695.889,2176.968,794.016,2023.98,1466.85,989.95,756.716,-0.463192
2011-08-12,652.948,697.505,2191.22,799.485,2023.33,1498.56,989.74,756.6907,-0.469596
2011-08-15,667.576,718.634,2184.492,804.706,2030.81,1526.62,1013.41,760.3645,-0.414033
2011-08-16,660.648,704.756,2194.472,806.612,2028.68,1521.92,1018.64,763.6115,-0.405028
2011-08-17,660.7,704.031,2201.175,808.627,2030.4,1530.55,1024.45,766.5325,-0.391774
2011-08-18,630.335,662.51,2205.769,804.932,2025.01,1465.9,995.44,768.0054,-0.376486
2011-08-19,620.545,651.7,2204.816,802.85,2024.23,1446.14,970.16,767.2351,-0.377471
2011-08-22,620.571,651.338,2201.688,801.963,2020.52,1444.74,966.06,767.3427,-0.335566
2011-08-23,642.143,683.074,2186.561,796.957,2012.81,1461.26,985.8,764.2827,-0.347512
2011-08-24,650.603,692.567,2167.604,794.707,2006.92,1469.71,978.21,761.5924,-0.354181
2011-08-25,639.976,674.422,2174.769,796.211,2006.69,1457.04,973.05,761.1441,-0.353306
2011-08-26,650.542,691.792,2178.467,795.243,2006.6,1455.41,975.92,761.6592,-0.348678
2011-08-29,669.783,724.653,2170.1,797.435,2009.12,1482.51,1004.57,761.9118,-0.293786
2011-08-30,671.59,728.08,2184.181,799.574,2011.97,1491.72,1013.68,763.4722,-0.266507
2011-08-31,674.793,726.805,2183.582,804.597,2028.24,1523.58,1033.15,766.8356,-0.270332
2011-09-01,666.455,708.921,2194.377,807.165,2034.52,1521.62,1038.0,768.6746,-0.274376
2011-09-02,649.31,683.361,2208.797,807.183,2036.92,1488.02,1021.88,769.2939,-0.279824
2011-09-06,644.568,680.874,2206.897,801.46,2029.8,1408.57,988.05,768.3313,-0.310576
2011-09-07,663.694,709.473,2199.587,804.041,2034.18,1447.0,1009.75,768.7756,-0.309482
2011-09-08,656.495,694.923,2204.865,805.447,2038.39,1453.64,1013.53,769.6021,-0.297216
2011-09-09,638.917,673.958,2208.369,804.45,2039.47,1405.87,992.31,768.7751,-0.286245
2011-09-12,643.164,679.757,2200.333,799.689,2035.12,1364.68,969.97,766.3771,-0.280191
2011-09-13,649.586,691.737,2190.909,798.85,2035.45,1381.44,964.43,764.5241,-0.288659
2011-09-14,658.629,704.125,2190.485,799.871,2039.51,1387.46,952.55,762.1977,-0.288965
2011-09-15,669.607,713.508,2183.44,800.651,2042.44,1425.29,963.72,760.1253,-0.307882
2011-09-16,672.982,714.307,2185.842,802.062,2044.63,1436.62,976.84,760.7786,-0.323802
2011-09-19,666.308,702.233,2198.886,801.205,2045.33,1400.5,949.39,759.8437,-0.318755
2011-09-20,664.343,689.949,2197.098,801.651,2047.41,1418.97,951.15,758.4115,-0.310375
2011-09-21,644.637,664.577,2205.897,801.169,2049.66,1403.16,940.02,756.8647,-0.317458
2011-09-22,623.466,643.421,2209.179,793.767,2044.16,1331.35,880.64,748.9635,-0.314005
2011-09-23,627.561,652.432,2191.437,789.376,2042.17,1338.48,861.53,739.444,-0.32591
2011-09-26,641.77,665.624,2178.857,787.693,2040.79,1341.16,851.51,732.398,-0.319735
2011-09-27,649.046,680.232,2169.172,787.913,2042.82,1405.75,893.47,730.6898,-0.321228
2011-09-28,634.81,651.97,2170.573,785.274,2042.94,1394.51,891.05,731.4383,-0.306702
2011-09-29,639.591,662.8,2177.485,781.699,2041.93,1402.75,894.48,732.4744,-0.298049
2011-09-30,623.452,644.156,2180.663,775.674,2036.93,1373.33,880.43,732.4264,-0.299867
2011-10-03,604.422,609.491,2191.436,769.54,2031.71,1343.2,852.24,730.0494,-0.298922
2011-10-04,618.849,648.636,2178.072,757.487,2015.5,1310.15,831.22,724.9351,-0.288194
2011-10-05,630.266,658.113,2164.61,758.783,2012.22,1336.85,836.54,724.0841,-0.288642
2011-10-06,642.448,673.797,2160.826,765.918,2018.06,1379.96,864.08,728.5714,-0.265322
2011-10-07,636.653,656.209,2157.439,769.463,2024.01,1400.85,883.9,731.9918,-0.264983
2011-10-11,658.832,688.966,2154.853,775.266,2030.92,1434.51,909.43,737.9856,-0.272247
2011-10-12,665.484,700.385,2154.859,782.977,2043.67,1460.25,923.15,743.0224,-0.255035
2011-10-13,663.882,698.817,2165.349,785.652,2046.93,1449.68,930.47,746.7111,-0.23511
2011-10-14,675.522,712.457,2163.022,789.053,2051.55,1463.69,935.5,748.7597,-0.2247
2011-10-17,662.031,688.602,2174.144,791.506,2054.95,1459.17,941.02,751.1562,-0.176075
2011-10-18,675.75,709.338,2175.999,792.044,2054.04,1439.42,925.13,751.3793,-0.176317
2011-10-19,666.957,694.374,2183.365,797.409,2059.95,1456.0,932.95,752.2422,-0.175336
2011-10-20,669.913,696.42,2182.54,799.023,2063.29,1427.6,907.71,751.7949,-0.168005
2011-10-21,682.699,712.425,2184.589,803.918,2068.72,1468.8,920.07,751.5838,-0.165919
2011-10-24,692.719,736.03,2186.581,808.166,2072.34,1491.03,949.39,753.1085,-0.159401
2011-10-25,678.592,713.653,2205.122,811.923,2076.53,1484.08,955.28,755.7814,-0.143663
2011-10-26,685.877,727.146,2197.501,812.813,2078.68,1477.82,960.38,757.9604,-0.13652
2011-10-27,709.614,765.432,2190.353,820.626,2090.56,1553.31,993.81,762.5259,-0.131851
2011-10-28,709.85,761.003,2205.21,822.803,2096.09,1560.85,1010.12,765.4095,-0.13658
2011-10-31,692.411,741.064,2218.918,821.871,2095.82,1505.0,995.0,767.3381,-0.09856
2011-11-01,672.846,713.889,2229.776,815.165,2087.55,1440.44,968.69,766.2507,-0.110163
2011-11-02,683.836,733.156,2230.362,817.233,2089.18,1451.28,977.11,766.955,-0.120808
2011-11-03,696.926,751.534,2223.571,819.323,2092.92,1464.76,973.99,769.5498,-0.117048
2011-11-04,693.212,746.486,2226.101,819.944,2095.29,1466.29,989.63,771.2006,-0.127864
2011-11-07,696.989,745.112,2230.972,819.855,2096.3,1460.06,990.29,772.4349,-0.16247
2011-11-08,704.926,755.266,2220.034,819.738,2098.85,1468.93,990.56,773.2251,-0.155985
2011-11-09,678.758,718.861,2223.586,814.644,2097.8,1441.39,980.01,772.1109,-0.165174
2011-11-10,684.217,725.505,2211.808,813.697,2098.12,1423.78,953.95,770.1163,-0.191706
2011-11-14,691.165,732.89,2211.47,814.254,2101.04,1448.02,976.86,770.677,-0.167545
2011-11-15,694.661,743.08,2206.071,812.373,2100.11,1430.99,969.2,769.4511,-0.178134
2011-11-16,683.289,729.865,2207.349,811.443,2099.26,1426.06,960.05,767.5532,-0.16043
2011-11-17,671.651,718.743,2209.161,809.861,2098.16,1413.57,951.97,765.8617,-0.174468
2011-11-18,671.259,719.422,2201.819,808.144,2096.03,1400.49,934.08,764.463,-0.169231
2011-11-21,659.019,701.901,2200.687,804.129,2089.97,1361.13,909.84,762.0421,-0.180634
2011-11-22,656.233,696.264,2196.8,801.278,2087.69,1356.86,909.34,759.8258,-0.204698
2011-11-23,641.511,674.338,2201.438,798.391,2086.81,1329.58,885.26,757.9006,-0.206093
2011-11-25,639.815,666.157,2190.002,797.841,2086.32,1321.23,877.4,755.9411,-0.228085
2011-11-28,658.756,697.9,2191.584,800.3,2084.0,1366.44,902.28,756.6452,-0.215974
2011-11-29,660.045,696.105,2184.647,799.749,2083.0,1381.76,909.48,755.8244,-0.234785
2011-11-30,688.766,737.417,2177.509,803.695,2085.53,1427.27,928.32,757.6714,-0.241548
2011-12-01,687.418,730.753,2174.01,806.354,2086.13,1431.7,959.12,760.7365,-0.253613
2011-12-02,687.44,735.025,2190.571,809.686,2088.26,1441.07,960.83,763.4268,-0.263744
2011-12-05,694.566,747.026,2195.5,813.252,2090.35,1455.3,966.19,766.2199,-0.250782
2011-12-06,694.924,746.777,2190.665,814.207,2091.47,1438.59,953.5,767.2088,-0.261609
2011-12-07,696.024,746.14,2200.088,815.345,2091.78,1444.37,959.33,767.6887,-0.267171
2011-12-08,680.928,722.685,2203.226,815.723,2090.88,1421.67,947.59,767.1751,-0.270075
2011-12-09,692.662,745.4,2192.21,815.06,2090.66,1428.19,934.18,766.3821,-0.280777
2011-12-12,682.211,733.15,2196.135,814.449,2088.01,1404.67,924.91,766.6811,-0.28723
2011-12-13,675.616,718.057,2202.028,814.982,2087.78,1396.1,916.86,766.2792,-0.292943
2011-12-14,667.538,708.456,2208.313,814.072,2086.61,1363.55,903.95,765.2127,-0.2964
2011-12-15,669.984,716.014,2205.861,814.093,2086.73,1368.46,896.68,764.3246,-0.314147
2011-12-16,672.724,722.053,2214.153,814.751,2087.13,1370.78,904.09,765.0819,-0.307741
2011-12-19,664.39,708.556,2219.096,815.658,2087.95,1360.97,888.77,765.3231,-0.291409
2011-12-20,684.382,738.221,2206.271,816.772,2088.42,1387.78,900.79,765.3565,-0.305923
2011-12-21,685.741,740.448,2200.287,817.69,2089.33,1384.81,916.2,766.1075,-0.303144
2011-12-22,691.626,745.51,2203.555,818.91,2091.08,1393.43,919.55,766.7531,-0.312296
2011-12-23,697.687,747.982,2193.078,819.452,2091.84,1401.6,927.7,766.2035,-0.326351
2011-12-27,697.837,751.314,2197.34,820.498,2093.35,1405.36,924.28,767.3209,-0.30832
2011-12-28,688.708,735.213,2213.457,821.866,2093.94,1386.64,913.11,768.3521,-0.292973
2011-12-29,696.194,744.979,2214.834,822.851,2094.75,1393.45,914.21,768.3153,-0.299833
2011-12-30,693.356,740.916,2219.422,823.6,2095.88,1412.55,916.39,768.5563,-0.317184
2012-01-03,703.756,752.279,2213.166,827.113,2099.47,1446.64,939.91,770.7271,-0.313599
2012-01-04,703.718,747.276,2211.033,828.3,2103.34,1439.89,937.54,770.55,-0.28823
2012-01-05,706.237,752.287,2211.835,828.692,2105.92,1416.47,932.44,770.1569,-0.269605
2012-01-06,704.737,749.708,2217.879,829.912,2108.71,1406.71,927.06,769.4957,-0.254604
2012-01-09,706.542,753.514,2219.694,830.922,2111.76,1405.1,930.87,769.962,-0.209658
2012-01-10,713.094,764.75,2221.223,832.522,2114.56,1428.96,948.82,769.188,-0.21003
2012-01-11,713.688,767.238,2228.547,832.837,2117.07,1419.33,948.65,768.7567,-0.194523
2012-01-12,715.526,770.49,2227.559,833.26,2118.09,1423.02,953.48,769.6105,-0.193002
2012-01-13,711.883,764.198,2235.897,832.49,2117.82,1415.22,952.92,769.9256,-0.208976
2012-01-17,714.334,765.528,2239.562,833.405,2120.64,1437.05,972.35,770.5486,-0.220956
2012-01-18,722.608,779.259,2235.407,834.0,2122.0,1445.0,980.93,771.7267,-0.207128
2012-01-19,726.42,782.368,2230.927,836.802,2123.76,1464.78,991.38,773.3808,-0.203806
2012-01-20,726.715,784.625,2226.884,837.304,2125.96,1472.05,995.08,775.5954,-0.184801
2012-01-23,727.006,783.048,2225.992,839.386,2128.65,1487.63,999.64,776.6107,-0.188519
2012-01-24,726.685,788.265,2228.198,840.22,2129.76,1476.25,997.6,777.5365,-0.171447
2012-01-25,733.487,795.64,2235.533,842.361,2132.61,1475.53,999.6,779.7678,-0.166551
2012-01-26,729.303,792.909,2248.828,846.575,2137.31,1505.67,1014.98,782.2154,-0.146254
2012-01-27,728.733,798.851,2254.597,847.299,2139.04,1495.58,1016.61,783.899,-0.133263
2012-01-30,726.722,792.379,2261.824,846.497,2139.49,1480.91,1006.17,785.0574,-0.089243
2012-01-31,726.334,792.82,2267.897,847.525,2141.92,1486.74,1019.39,786.5604,-0.075531
2012-02-01,733.499,809.661,2264.212,848.969,2144.48,1514.86,1029.85,787.7217,-0.079816
2012-02-02,734.453,812.893,2268.958,849.57,2145.56,1518.58,1043.96,789.6377,-0.083072
2012-02-03,745.391,831.109,2259.31,851.408,2146.27,1529.46,1048.36,790.9867,-0.084543
2012-02-06,745.116,828.374,2268.807,852.809,2148.08,1529.55,1047.22,791.6649,-0.037684
2012-02-07,746.52,827.374,2263.715,853.773,2149.29,1540.09,1048.56,791.5107,-0.067823
2012-02-08,748.067,828.393,2266.117,855.303,2150.94,1544.48,1060.7,791.2636,-0.086306
2012-02-09,749.391,824.985,2262.203,855.605,2151.6,1549.8,1061.68,791.7116,-0.09921
2012-02-10,743.966,813.333,2269.947,853.789,2150.53,1524.97,1042.15,792.3556,-0.116179
2012-02-13,749.187,824.807,2266.426,855.254,2151.71,1538.87,1053.0,794.8036,-0.095991
2012-02-14,748.444,820.649,2275.15,855.612,2152.34,1526.16,1046.96,795.605,-0.098506
2012-02-15,744.773,813.976,2273.097,855.551,2152.0,1537.05,1058.47,795.9873,-0.094256
2012-02-16,753.375,829.964,2263.918,854.462,2150.31,1530.02,1049.24,795.8533,-0.102615
2012-02-17,754.716,828.676,2265.096,856.287,2150.81,1548.44,1062.46,796.8875,-0.109562
2012-02-21,754.823,823.224,2263.614,857.77,2151.91,1563.57,1064.41,799.9362,-0.10639
2012-02-22,752.278,816.505,2270.668,858.945,2151.75,1553.17,1064.56,802.3341,-0.100392
2012-02-23,755.834,829.234,2274.067,860.685,2152.44,1559.01,1059.26,803.6663,-0.087523
