,US Aggregate Bonds,US High Yield Bonds,US Equities,US Bank Loans,European Equities,Asian Equities,Oil,Gold,EUR/USD,US Real Estate
2008-08-18,1402.91,576.46,1278.6,1708.13,3366.09,13165.45,112.87,800.07,1.4694,61.6
2008-08-19,1401.84,574.962,1266.69,1708.5,3279.75,12865.05,114.53,814.2,1.4776,60.08
2008-08-20,1407.7,574.639,1274.54,1708.26,3295.28,12851.69,114.98,813.55,1.4747,60.17
2008-08-21,1403.86,573.663,1277.72,1707.98,3248.92,12752.21,121.18,836.88,1.4899,59.1
2008-08-22,1402.13,573.54,1292.2,1707.92,3312.41,12666.04,114.59,823.03,1.4793,61.11
2008-08-25,1407.27,574.32,1266.84,1708.33,3280.41,12878.66,115.11,821.95,1.4754,59.26
2008-08-26,1408.17,574.485,1271.51,1708.11,3297.42,12778.71,116.27,824.93,1.4653,59.96
2008-08-27,1410.03,574.762,1281.66,1708.2,3299.15,12752.96,118.15,826.9,1.4727,60.56
2008-08-28,1409.71,575.244,1300.68,1708.46,3359.42,12768.25,115.59,834.03,1.4706,62.1
2008-08-29,1409.36,575.564,1282.83,1709.07,3365.63,13072.87,115.46,831.15,1.4673,61.67
2008-08-31,,575.711,,,,,,,,
2008-09-01,,575.86,,1709.95,3364.4,12834.18,,817.68,1.4617,
2008-09-02,1413.59,576.589,1277.58,1710.15,3416.46,12609.47,109.71,805.35,1.452,62.07
2008-09-03,1416.44,576.577,1274.98,1710.52,3368.97,12689.59,109.35,801.3,1.4498,63.05
2008-09-04,1420.3,576.196,1236.83,1710.83,3274.82,12557.66,107.89,796.45,1.4325,61.28
2008-09-05,1418.02,575.599,1242.31,1710.49,3185.83,12212.23,106.23,803.5,1.4267,61.29
2008-09-08,1429.46,577.673,1267.79,1711.72,3284.12,12624.46,106.34,802.3,1.4128,63.94
2008-09-09,1430.25,577.672,1224.51,1711.42,3261.07,12400.65,103.26,777.25,1.4133,61.55
2008-09-10,1428.13,576.338,1232.04,1710.34,3242.02,12346.63,102.58,752.45,1.3998,61.66
2008-09-11,1428.12,575.02,1249.05,1708.27,3222.1,12102.5,100.87,746.85,1.3998,62.6
2008-09-12,1421.93,575.075,1251.7,1707.66,3278.02,12214.76,101.18,765.5,1.4224,62.4
2008-09-15,1429.27,570.347,1192.7,1703.2,3151.17,,95.71,786.65,1.4243,58.8
2008-09-16,1423.9,563.556,1213.59,1686.0,3088.43,11609.72,91.15,779.73,1.4129,61.7
2008-09-17,1420.83,559.269,1156.39,1677.05,3018.77,11749.79,97.16,863.85,1.4326,58.15
2008-09-18,1415.82,555.934,1206.52,1665.47,3000.83,11489.3,97.88,852.8,1.4348,63.09
2008-09-19,1405.88,561.119,1255.08,1663.23,3253.52,11920.86,104.55,873.55,1.4466,64.97
2008-09-22,1404.42,560.613,1207.09,1665.5,3181.77,12090.59,120.92,897.0,1.4774,59.51
2008-09-23,1402.26,557.157,1188.22,1661.03,3139.83,,106.61,892.15,1.4648,59.91
2008-09-24,1404.66,552.673,1185.87,1651.66,3119.83,12115.03,105.73,883.0,1.4621,58.73
2008-09-25,1399.15,546.107,1209.18,1641.41,3207.11,12006.53,108.02,877.83,1.4609,59.46
2008-09-26,1397.06,538.937,1213.01,1632.74,3156.46,11893.16,106.89,878.75,1.4614,61.3
2008-09-29,1408.09,534.393,1106.39,1624.02,3008.19,11743.61,96.37,908.75,1.4435,56.72
2008-09-30,1390.43,527.942,1166.36,1604.53,3038.2,11259.86,100.64,870.95,1.4092,60.8
2008-10-01,1393.52,523.965,1161.07,1596.82,3067.35,11368.26,98.53,870.87,1.4009,59.33
2008-10-02,1397.63,511.855,1114.28,1582.82,3007.51,11154.76,93.97,836.45,1.3819,55.5
2008-10-03,1399.24,508.913,1099.23,1563.97,3113.82,10938.14,93.88,835.58,1.3772,53.1
2008-10-06,1409.05,498.648,1056.89,1553.19,2868.97,10473.09,87.81,859.75,1.3499,51.51
2008-10-07,1403.11,495.212,996.23,1529.39,2879.45,10155.9,90.06,887.1,1.3588,47.09
2008-10-08,1390.25,485.247,984.94,1501.5,2694.55,9203.32,88.95,907.62,1.3654,46.44
2008-10-09,1378.08,476.149,909.92,1481.04,2629.04,9157.49,86.59,913.25,1.3604,42.76
2008-10-10,1371.6,453.635,899.22,1438.03,2421.87,8276.43,77.7,850.1,1.3409,46.85
2008-10-13,,454.081,1003.35,1438.21,2688.32,,81.19,833.07,1.3581,49.83
2008-10-14,1364.11,465.506,998.01,1440.04,2756.74,9447.57,78.63,836.85,1.3619,46.44
2008-10-15,1362.75,455.113,907.84,1417.74,2578.06,9547.47,74.54,847.28,1.3499,40.48
2008-10-16,1365.18,446.677,946.43,1388.66,2423.8,8458.45,69.85,804.6,1.3456,42.83
2008-10-17,1363.05,443.346,940.55,1377.29,2532.17,8693.82,71.85,783.35,1.341,42.372
2008-10-20,1369.12,446.44,985.4,1378.86,2613.68,9005.59,74.25,796.93,1.3344,42.68
2008-10-21,1380.97,447.813,955.05,1386.3,2598.97,9306.25,70.89,771.65,1.3063,41.22
2008-10-22,1382.76,445.748,896.78,1394.08,2457.97,8674.69,66.75,730.5,1.2855,38.31
2008-10-23,1384.94,442.01,908.11,1392.4,2452.03,8460.98,67.84,721.37,1.2934,37.31
2008-10-24,1372.79,435.126,876.77,1389.37,2333.28,7649.08,64.15,734.7,1.2623,35.19
2008-10-27,1367.15,432.974,848.92,1382.71,2293.05,7162.9,63.22,730.8,1.2493,33.19
2008-10-28,1361.23,433.752,940.51,1380.76,2381.68,7621.92,62.73,746.95,1.2683,38.38
2008-10-29,1360.75,438.872,930.09,1381.4,2515.24,8211.9,67.5,754.95,1.2963,37.02
2008-10-30,1359.63,442.713,954.09,1386.07,2528.04,9029.76,65.96,738.75,1.2915,39.0
2008-10-31,1357.61,441.896,968.75,1392.46,2591.76,8576.98,67.81,723.85,1.2726,41.51
2008-11-03,1362.97,442.469,966.3,1394.41,2610.04,,63.91,723.55,1.2643,40.15
2008-11-04,1376.42,446.587,1005.75,1398.03,2755.12,9114.6,70.53,763.27,1.2981,42.4
2008-11-05,1383.17,448.774,952.77,1402.01,2710.65,9521.24,65.3,740.45,1.2954,38.23
2008-11-06,1381.83,447.402,904.88,1401.15,2542.04,8899.14,60.77,732.8,1.2715,36.44
2008-11-07,1378.6,444.615,930.99,1397.52,2602.54,8583.0,61.04,736.65,1.2718,38.75
2008-11-10,1382.55,444.883,919.21,1396.18,2625.84,9081.43,62.41,746.2,1.2748,35.28
2008-11-11,,445.033,898.95,1396.5,2483.61,8809.3,59.33,731.65,1.2522,34.79
2008-11-12,1387.35,439.591,852.3,1391.72,2400.74,8695.51,56.16,712.25,1.2505,32.3
2008-11-13,1378.83,435.686,911.29,1382.97,2429.94,8238.64,58.24,736.5,1.2769,35.8499
2008-11-14,1380.23,431.877,873.29,1373.28,2456.43,8462.39,57.04,742.1,1.2605,31.81
2008-11-17,1380.46,428.999,850.75,1364.7,2364.83,8522.58,54.95,738.05,1.265,30.66
2008-11-18,1380.95,422.957,859.12,1352.09,2390.1,8328.41,54.39,738.2,1.2618,30.37
2008-11-19,1382.04,414.534,806.58,1341.05,2295.36,8273.22,53.62,734.62,1.2489,26.29
2008-11-20,1384.51,404.582,752.44,1311.18,2225.99,7703.04,49.62,746.6,1.2453,24.21
2008-11-21,1384.74,398.339,800.03,1290.28,2165.91,7910.79,49.93,800.45,1.2587,25.99
2008-11-24,1382.24,397.366,851.81,1281.93,2380.3,,54.5,821.62,1.2953,30.41
2008-11-25,1399.42,400.426,857.39,1275.12,2385.9,8323.93,50.77,821.03,1.3065,30.89
2008-11-26,1401.38,402.801,887.68,1272.13,2373.82,8213.22,54.44,812.9,1.288,32.56
2008-11-27,,402.952,,1272.45,2427.97,8373.39,,816.2,1.2904,
2008-11-28,1401.8,404.331,896.24,1273.41,2430.31,8512.27,54.43,818.05,1.2691,32.08
2008-11-30,,404.634,,,,,,,,
2008-12-01,1408.88,403.401,816.21,1271.6,2288.39,8397.22,49.28,768.95,1.2611,25.819
2008-12-02,1410.8,404.141,848.81,1265.98,2354.13,7863.69,46.96,782.37,1.2714,29.25
2008-12-03,1411.53,401.955,870.74,1263.44,2369.52,8004.1,46.79,773.95,1.2717,30.89
2008-12-04,1418.14,401.16,845.22,1256.29,2368.72,7924.24,43.67,767.0,1.2777,30.04
2008-12-05,1414.75,396.968,876.07,1246.14,2252.09,7917.51,40.81,756.45,1.2718,33.22
2008-12-08,1414.4,399.01,909.7,1242.42,2449.28,8329.05,43.71,772.7,1.2963,36.32
2008-12-09,1420.31,400.587,888.67,1239.63,2480.79,8395.87,42.07,776.93,1.2927,33.17
2008-12-10,1423.39,400.045,899.24,1235.79,2495.58,8660.24,43.52,810.6,1.3023,36.02
2008-12-11,1426.6,398.16,873.59,1228.46,2485.39,8720.55,47.98,821.35,1.3352,30.88
2008-12-12,1427.85,393.961,879.73,1219.57,2418.91,8235.87,46.28,822.4,1.3369,34.11
2008-12-15,1430.27,395.491,868.57,1210.45,2407.47,8664.66,44.51,838.45,1.3688,32.92
2008-12-16,1438.46,395.685,913.18,1205.19,2450.36,8568.02,43.6,858.1,1.4002,36.95
2008-12-17,1447.31,399.18,904.42,1202.25,2444.46,8612.52,40.06,867.9,1.442,37.63
2008-12-18,1453.21,403.803,885.28,1206.15,2452.42,8667.23,36.22,853.05,1.424,34.5
2008-12-19,1452.02,406.195,887.88,1212.07,2444.14,8588.52,33.87,838.25,1.3912,36.92
2008-12-22,1451.29,409.215,871.63,1213.3,2397.65,8723.78,39.91,848.05,1.3944,35.53
2008-12-23,1450.19,413.5,863.16,1215.53,2382.14,,38.98,840.2,1.3929,35.33
2008-12-24,1450.32,413.873,868.15,1220.32,2377.42,8517.1,35.35,848.0,1.4013,34.8
2008-12-25,,,,1220.6,,8599.5,,842.0,1.4025,
2008-12-26,1452.93,417.58,872.8,1221.86,,8739.52,37.71,869.3,1.4028,35.3
2008-12-29,1455.43,422.439,869.42,1226.03,2388.3,8747.17,40.02,880.28,1.3927,33.27
2008-12-30,1458.05,431.209,890.64,1230.13,2451.48,8859.56,39.03,873.73,1.4057,34.6
2008-12-31,1454.1,434.878,903.25,1236.5,2447.62,,44.6,882.05,1.3971,36.45
2009-01-01,,,,1236.79,,,,881.45,1.4045,
2009-01-02,1446.47,436.991,931.8,1239.74,2536.47,,46.34,875.4,1.3921,35.29
2009-01-05,1447.27,444.345,927.45,1245.3,2553.41,9043.12,48.81,859.48,1.3635,34.639
2009-01-06,1451.85,456.709,934.7,1276.32,2578.43,9080.84,48.58,863.9,1.3536,36.37
2009-01-07,1455.7,461.443,906.65,1294.17,2538.55,9239.24,42.63,842.98,1.3644,35.15
2009-01-08,1457.44,459.16,909.73,1289.45,2516.56,8876.42,41.7,857.4,1.3702,34.89
2009-01-09,1459.43,461.023,890.35,1291.14,2486.59,8836.8,40.83,854.2,1.3476,33.1
2009-01-12,1463.38,462.709,870.26,1294.62,2451.87,,37.59,821.0,1.3362,31.16
2009-01-13,1462.02,461.078,871.79,1293.28,2411.28,8413.91,37.78,822.0,1.3182,32.1
2009-01-14,1464.02,457.659,842.62,1293.07,2298.46,8438.45,37.28,811.7,1.3191,30.42
2009-01-15,1462.65,455.003,843.74,1291.35,2257.67,8023.31,35.4,817.8,1.3115,31.42
2009-01-16,1459.33,456.754,850.12,1292.54,2281.45,8230.15,36.51,843.15,1.3267,32.61
2009-01-19,,457.213,,1293.24,2252.39,8256.85,,835.9,1.3069,
2009-01-20,1457.03,456.886,805.22,1293.73,2200.8,8065.79,38.74,857.33,1.2904,28.96
2009-01-21,1448.68,455.378,840.24,1291.99,2188.43,7901.64,43.55,854.2,1.3023,31.99
2009-01-22,1447.93,455.137,827.5,1293.49,2160.07,8051.74,43.67,856.98,1.3001,30.24
2009-01-23,1447.08,454.095,831.95,1294.41,2147.87,7745.25,46.47,899.78,1.2975,31.16
2009-01-26,1447.82,454.357,836.57,1296.81,2226.77,7682.14,45.73,903.37,1.3189,30.98
2009-01-27,1453.56,455.218,845.71,1302.11,2224.62,8061.07,41.58,899.15,1.316,31.42
2009-01-28,1449.07,458.748,874.09,1311.55,2322.78,8106.29,42.16,887.47,1.3166,34.14
2009-01-29,1442.05,459.687,845.14,1321.32,2269.4,8251.24,41.44,908.65,1.2954,31.35
2009-01-30,1441.27,459.58,825.88,1327.8,2236.98,7994.05,41.68,927.85,1.2813,30.06
2009-01-31,,457.961,,,,,,,,
2009-02-02,1447.27,457.891,825.44,1330.31,2198.74,7873.98,40.08,905.0,1.2843,30.79
2009-02-03,1442.06,457.89,838.51,1332.83,2244.89,7825.51,40.78,900.35,1.304,30.48
2009-02-04,1438.83,459.54,832.23,1335.86,2297.73,8038.94,40.32,905.85,1.2849,29.74
2009-02-05,1439.71,460.86,845.85,1339.1,2293.23,7949.65,41.17,914.55,1.2791,29.11
2009-02-06,1436.98,461.275,868.6,1341.13,2343.66,8076.62,40.17,911.5,1.294,31.13
2009-02-09,1437.73,462.605,869.89,1343.19,2348.95,7969.03,39.56,894.5,1.3003,31.59
2009-02-10,1447.55,464.216,827.16,1345.73,2268.15,7945.94,37.55,915.4,1.2913,28.78
2009-02-11,1451.27,463.604,833.74,1348.18,2267.9,,35.94,938.85,1.2906,29.33
2009-02-12,1453.2,462.165,835.19,1349.64,2214.95,7705.36,33.98,946.75,1.2861,28.83
2009-02-13,1445.67,461.03,826.84,1351.51,2228.29,7779.4,37.51,941.7,1.2862,27.06
2009-02-16,,461.483,,1352.17,2193.64,7750.17,,941.75,1.2801,
2009-02-17,1454.43,458.709,789.17,1349.69,2119.98,7645.51,34.93,970.25,1.2582,25.14
2009-02-18,1449.51,455.311,788.42,1347.74,2118.47,7534.44,34.62,984.55,1.253,25.5
2009-02-19,1443.26,455.393,778.94,1347.41,2114.84,7557.65,39.48,974.7,1.2674,24.4
2009-02-20,1445.78,452.209,770.05,1346.39,2011.68,7416.38,38.94,992.9,1.2826,25.94
2009-02-23,1444.99,451.452,743.33,1345.7,1991.63,7376.16,38.44,991.65,1.2694,23.99
2009-02-24,1443.48,445.578,773.14,1342.99,1977.5,7268.56,39.96,962.45,1.2846,26.02
2009-02-25,1437.09,444.182,764.9,1343.05,1965.26,7461.22,42.5,953.48,1.2723,25.5199
2009-02-26,1436.25,443.958,752.83,1340.5,2021.14,7457.93,45.22,945.82,1.2744,24.21
2009-02-27,1435.83,441.616,735.09,1338.16,1976.23,7568.42,44.76,942.32,1.2669,23.89
2009-02-28,,442.085,,,,,,,,
2009-03-02,1440.85,437.746,700.82,1334.13,1882.79,7280.15,40.15,926.0,1.2578,22.4
2009-03-03,1439.48,433.87,696.33,1326.29,1864.73,7229.72,41.65,916.07,1.2561,22.49
2009-03-04,1435.36,430.235,712.87,1323.73,1943.46,7290.96,45.38,906.5,1.2661,22.85
2009-03-05,1442.25,428.584,682.55,1314.05,1852.25,7433.49,43.61,932.4,1.254,21.44
2009-03-06,1440.78,427.411,683.38,1308.38,1817.24,7173.1,45.52,939.37,1.2653,21.15
2009-03-09,1436.82,424.723,676.53,1303.53,1809.98,7086.03,47.07,922.35,1.2611,21.62
2009-03-10,1434.72,425.938,719.6,1301.13,1919.53,7054.98,45.71,898.15,1.2682,24.63
2009-03-11,1437.43,431.12,721.36,1302.09,1932.79,7376.12,42.33,909.25,1.2837,24.23
2009-03-12,1438.91,432.537,750.74,1302.06,1962.64,7198.25,47.03,927.15,1.2913,26.21
2009-03-13,1438.91,436.408,756.55,1306.47,1969.52,7569.28,46.25,929.73,1.2928,25.65
2009-03-16,1436.94,440.243,753.89,1313.45,2033.72,7704.15,47.35,923.07,1.2968,23.63
2009-03-17,1434.84,440.568,778.12,1315.11,2012.25,7949.13,49.16,915.2,1.3017,25.42
2009-03-18,1453.99,441.093,794.35,1316.79,2019.19,7972.17,48.14,942.0,1.3474,26.81
2009-03-19,1452.35,443.6,784.04,1319.26,2039.58,7945.96,51.61,959.85,1.3665,25.17
2009-03-20,1451.05,444.279,768.54,1320.61,2050.96,,51.06,952.23,1.3582,23.0
2009-03-23,1450.73,447.509,822.92,1326.13,2121.72,8215.53,53.8,939.5,1.3633,26.72
2009-03-24,1452.51,449.442,806.12,1332.6,2127.37,8488.3,53.98,925.75,1.3468,24.66
2009-03-25,1449.32,451.467,813.88,1337.49,2149.18,8479.99,52.77,934.2,1.3583,24.58
2009-03-26,1452.33,455.825,832.86,1343.17,2156.97,8636.33,54.34,934.45,1.3526,25.13
2009-03-27,1452.38,457.88,815.94,1351.06,2118.76,8626.97,52.38,923.15,1.3287,24.01
2009-03-30,1454.07,456.62,787.53,1352.3,2010.61,8236.08,48.41,917.3,1.3199,22.7
2009-03-31,1455.79,456.69,797.87,1357.68,2071.13,8109.53,49.66,919.35,1.325,24.28
2009-04-01,1457.53,455.805,811.08,1359.27,2097.57,8351.91,48.39,927.4,1.3249,24.15
2009-04-02,1455.29,460.085,834.38,1366.15,2216.49,8719.78,52.64,904.05,1.3461,25.9
2009-04-03,1449.82,462.282,842.5,1375.42,2198.75,8749.84,52.51,893.15,1.3486,28.13
2009-04-06,1449.98,464.276,835.48,1381.79,2179.73,8857.93,51.05,868.9,1.3416,27.81
2009-04-07,1452.31,465.216,815.55,1388.16,2165.56,8832.85,49.15,881.05,1.3272,25.73
2009-04-08,1456.15,467.273,825.16,1393.53,2186.79,8595.01,49.38,880.5,1.3282,26.112
2009-04-09,1454.04,470.092,856.56,1403.62,2247.89,8916.06,52.24,879.35,1.3169,29.61
2009-04-10,,,,1403.83,,8964.11,,881.65,1.3189,
2009-04-13,1460.02,473.086,858.73,1407.72,,8924.43,50.05,893.85,1.3368,29.7
2009-04-14,1464.2,477.391,841.5,1416.65,2278.65,8842.68,49.41,890.45,1.3259,27.18
2009-04-15,1466.25,479.605,852.06,1427.78,2262.96,8742.96,49.25,891.03,1.3227,29.54
2009-04-16,1464.18,483.534,865.3,1436.26,2300.51,8755.26,49.98,875.65,1.3186,30.53
2009-04-17,1459.68,489.295,869.6,1444.22,2341.15,8907.58,50.33,868.85,1.3044,31.08
2009-04-20,1464.6,489.63,832.39,1450.5,2249.44,8924.75,45.88,884.5,1.2921,27.88
2009-04-21,1461.93,485.574,850.08,1445.86,2243.63,8711.33,46.51,883.8,1.2948,30.35
2009-04-22,1459.57,486.481,843.55,1443.5,2285.69,8727.3,48.85,889.75,1.3005,29.29
2009-04-23,1462.03,488.756,851.92,1445.95,2259.54,8847.01,49.62,904.28,1.3144,30.61
2009-04-24,1460.68,492.769,866.23,1450.21,2319.89,8707.99,51.55,912.83,1.3242,32.06
2009-04-27,1465.35,494.394,857.51,1455.09,2317.36,8726.34,50.14,906.48,1.3036,30.14
2009-04-28,1462.39,495.611,855.16,1457.86,2280.52,8493.77,49.92,893.38,1.3149,30.54
2009-04-29,1460.4,500.931,873.64,1465.63,2334.59,,50.97,898.0,1.3271,31.87
2009-04-30,1462.75,509.054,872.81,1475.74,2375.34,8828.26,51.12,888.2,1.323,31.73
2009-05-01,1460.9,511.064,877.52,1482.78,2375.34,8977.37,53.2,886.55,1.3273,30.69
2009-05-04,1462.82,514.244,907.24,1488.21,2419.53,,54.47,902.15,1.3406,33.22
2009-05-05,1464.59,517.513,903.8,1494.44,2407.55,,53.84,897.15,1.333,31.98
2009-05-06,1466.67,520.884,919.53,1506.48,2437.27,,56.34,911.35,1.3335,33.2
2009-05-07,1463.37,527.562,907.39,1518.71,2406.08,9385.7,56.71,910.82,1.339,31.3
2009-05-08,1464.67,531.169,929.23,1528.24,2462.39,9432.83,58.63,916.65,1.3634,33.39
2009-05-11,1470.99,530.867,909.24,1533.06,2433.59,9451.98,58.5,913.6,1.3582,32.12
2009-05-12,1472.0,529.974,908.35,1536.65,2424.34,9298.61,58.85,923.3,1.3648,32.03
2009-05-13,1475.18,527.976,883.92,1535.44,2357.3,9340.49,58.02,926.33,1.36,29.93
2009-05-14,1474.57,525.424,893.07,1531.56,2353.53,9093.73,58.62,926.5,1.3639,30.64
2009-05-15,1475.25,525.19,882.88,1531.1,2364.1,9265.02,56.34,931.78,1.3495,29.61
2009-05-18,1472.04,525.823,909.71,1531.8,2422.74,9038.69,59.03,918.25,1.3562,31.99
2009-05-19,1474.1,528.639,908.13,1534.07,2459.59,9290.29,59.65,924.98,1.363,31.38
2009-05-20,1479.27,534.082,903.47,1537.29,2487.17,9344.64,62.04,938.65,1.378,31.13
2009-05-21,1473.28,535.182,888.33,1540.65,2423.72,9264.15,61.05,953.78,1.389,31.22
2009-05-22,1470.29,537.001,887.0,1543.16,2433.52,9225.81,61.67,957.35,1.3998,30.45
2009-05-25,,537.47,,1543.8,2440.23,9347.0,,958.8,1.4017,
2009-05-26,1467.84,538.233,910.33,1547.17,2468.45,9310.81,62.45,952.0,1.3985,32.26
2009-05-27,1459.17,540.343,893.06,1554.19,2479.48,9438.77,63.45,949.8,1.3825,31.09
2009-05-28,1459.45,542.404,906.83,1557.37,2453.15,9451.39,65.08,959.43,1.3941,31.52
2009-05-29,1473.36,545.107,919.14,1565.35,2451.24,9522.5,66.31,979.18,1.4158,32.56
2009-05-31,,545.263,,,,,,,,
2009-06-01,1463.14,547.725,942.87,1570.84,2537.35,9677.75,68.58,975.05,1.4159,34.23
2009-06-02,1468.23,552.563,944.74,1580.33,2534.17,9704.31,68.55,981.85,1.4303,33.52
2009-06-03,1473.11,554.566,931.76,1587.07,2483.39,9741.67,66.12,963.05,1.4162,33.46
2009-06-04,1465.36,556.008,942.46,1592.07,2487.08,9668.96,68.81,980.28,1.4183,34.53
2009-06-05,1454.46,557.509,940.09,1597.85,2503.17,9768.01,68.44,955.33,1.3968,34.44
2009-06-08,1450.84,559.131,939.14,1604.44,2468.37,9865.63,68.09,951.85,1.39,33.81
2009-06-09,1454.78,560.985,942.43,1608.27,2479.38,9786.82,70.01,954.55,1.4065,33.81
2009-06-10,1451.19,563.007,939.15,1616.27,2500.94,9991.49,71.33,954.5,1.3984,33.22
2009-06-11,1455.62,564.974,944.89,1623.33,2522.33,9981.33,72.68,954.93,1.4108,32.54
2009-06-12,1460.67,567.225,946.21,1628.95,2509.22,10135.82,72.04,939.3,1.4016,33.72
2009-06-15,1465.99,568.049,923.72,1631.74,2431.4,10039.67,70.62,928.3,1.3803,32.12
2009-06-16,1469.16,567.224,911.97,1633.36,2425.97,9752.88,70.47,934.8,1.3837,31.53
2009-06-17,1472.82,562.658,910.71,1629.86,2383.71,9840.85,71.03,938.6,1.3942,30.93
2009-06-18,1461.71,558.954,918.37,1626.19,2414.44,9703.72,71.37,933.2,1.39,31.14
2009-06-19,1465.97,559.799,921.23,1626.11,2434.77,9786.26,69.55,934.03,1.3937,31.45
2009-06-22,1471.87,558.609,893.04,1624.42,2359.28,9826.27,66.93,922.73,1.3865,29.81
2009-06-23,1473.91,557.471,895.1,1622.75,2353.48,9549.61,69.24,925.9,1.4077,30.03
2009-06-24,1472.1,557.304,900.94,1623.86,2418.46,9590.32,68.67,931.43,1.393,30.19
2009-06-25,1479.82,558.419,920.26,1625.92,2402.32,9796.08,70.23,939.25,1.3988,30.59
2009-06-26,1481.57,559.264,918.9,1627.44,2389.91,9877.39,69.16,939.6,1.4056,30.85
2009-06-29,1482.19,560.742,927.23,1630.7,2437.72,9783.47,71.49,937.95,1.4083,30.83
2009-06-30,1481.74,562.601,919.32,1634.41,2401.69,9958.44,69.89,926.5,1.4033,31.01
2009-07-01,1482.3,564.2,923.33,1636.4,2449.73,9939.93,69.31,940.8,1.4142,31.55
2009-07-02,1486.16,565.351,896.42,1639.98,2369.65,9876.15,66.73,929.8,1.4003,29.88
2009-07-03,,565.505,,1640.18,2376.48,9816.07,,932.5,1.398,
2009-07-06,1486.72,564.64,898.72,1641.56,2343.88,9680.87,64.05,925.1,1.3984,30.63
2009-07-07,1489.03,565.018,881.03,1643.48,2320.9,9647.79,62.93,924.68,1.3924,29.44
2009-07-08,1497.37,563.744,879.56,1644.3,2291.33,9420.75,60.14,909.5,1.3884,29.16
2009-07-09,1491.77,562.699,882.68,1644.44,2313.87,9291.06,60.41,912.28,1.402,28.61
2009-07-10,1499.16,562.919,879.13,1646.05,2281.47,9287.28,59.89,913.05,1.3936,28.57
2009-07-13,1498.78,562.296,901.05,1647.34,2345.22,9050.33,59.69,920.3,1.3978,29.65
2009-07-14,1493.62,563.304,905.84,1649.48,2370.71,9261.81,59.52,925.68,1.3967,30.01
2009-07-15,1486.42,565.162,932.68,1652.56,2451.02,9269.25,61.54,939.1,1.4107,31.12
2009-07-16,1489.85,565.46,940.74,1655.31,2458.97,9344.16,62.02,937.4,1.4148,31.48
2009-07-17,1487.03,567.633,940.38,1656.67,2469.2,9395.32,63.56,937.5,1.4102,30.64
2009-07-20,1492.43,570.814,951.13,1659.29,2500.69,,63.98,948.75,1.4231,31.72
2009-07-21,1499.65,574.67,954.58,1665.2,2519.99,9652.02,64.72,948.53,1.4226,31.63
2009-07-22,1496.52,576.012,954.07,1668.09,2528.85,9723.16,65.4,951.25,1.422,31.67
2009-07-23,1488.79,579.176,976.29,1672.31,2585.79,9792.94,67.16,949.2,1.4143,32.93
2009-07-24,1491.72,582.075,979.26,1680.14,2582.76,9944.55,68.05,951.35,1.4202,33.16
2009-07-27,1490.55,585.223,982.18,1686.49,2601.41,10088.66,68.38,953.82,1.4232,33.64
2009-07-28,1492.41,587.622,979.62,1690.98,2573.08,10087.26,67.23,937.58,1.4167,33.61
2009-07-29,1493.37,590.122,975.15,1695.95,2600.31,10113.24,63.35,930.0,1.405,33.19
2009-07-30,1496.06,593.56,986.75,1704.03,2654.74,10165.21,66.94,934.4,1.4075,34.38
2009-07-31,1505.64,597.387,987.48,1711.83,2638.13,10356.83,69.45,954.0,1.4257,34.35
2009-08-03,1499.96,600.574,1002.63,1716.69,2674.07,10352.47,71.58,956.8,1.4412,34.97
2009-08-04,1498.73,602.977,1005.65,1721.06,2670.96,10375.01,71.42,966.83,1.4408,36.88
2009-08-05,1494.98,604.552,1002.72,1723.81,2643.13,10252.53,71.97,963.58,1.4404,38.29
2009-08-06,1496.78,606.387,997.08,1727.94,2662.01,10388.09,71.94,963.15,1.4345,38.0
2009-08-07,1491.62,608.02,1010.48,1734.97,2706.22,10412.09,70.93,954.95,1.4183,40.12
2009-08-10,1498.25,610.576,1007.1,1739.38,2693.61,10524.26,70.6,946.42,1.414,39.26
2009-08-11,1502.06,610.62,994.35,1742.13,2650.94,10585.46,69.45,946.1,1.4149,38.12
2009-08-12,1501.45,607.789,1005.81,1742.11,2688.21,10435.0,70.16,947.1,1.4188,38.4
2009-08-13,1507.52,607.236,1012.73,1742.96,2705.74,10517.19,70.52,954.87,1.4292,38.6
2009-08-14,1509.98,606.97,1004.09,1743.38,2669.41,10597.33,67.51,948.67,1.4203,38.28
2009-08-17,1512.08,603.831,979.73,1739.38,2603.79,10268.61,66.75,934.68,1.4082,36.24
2009-08-18,1509.18,602.845,989.67,1737.18,2630.6,10284.96,69.19,938.65,1.4136,36.6
2009-08-19,1511.65,602.743,996.46,1736.27,2622.88,10204.0,72.42,941.97,1.4224,36.31
2009-08-20,1514.05,602.801,1007.37,1737.35,2663.67,10383.41,72.54,940.65,1.4254,37.76
2009-08-21,1507.93,603.257,1026.13,1739.87,2745.62,10238.2,73.89,953.78,1.4326,38.75
2009-08-24,1512.78,605.26,1025.57,1743.09,2778.34,10581.05,74.37,941.55,1.4304,38.62
2009-08-25,1515.52,606.516,1028.0,1744.88,2801.14,10497.36,72.05,944.75,1.4297,39.05
2009-08-26,1516.49,607.136,1028.12,1746.61,2788.9,10639.71,71.43,945.55,1.4255,39.17
2009-08-27,1515.59,607.954,1030.98,1748.18,2777.62,10473.97,72.49,948.08,1.4341,39.55
