,US Large Cap Equities,US Small Cap Equities,US Investment Grade Bonds,US High Yield Bonds,US Bank Loans,Developed Country Equities,Emerging Market Equities,Emerging Market Debt
2007-04-03,0.00925549854503216,0.010640695087502205,-0.0010629544526455925,0.00019196960817979836,0.00013764940696048278,0.009497567526125295,0.009675368752222191,0.0001887977301373578
2007-04-04,0.0012047502308256686,-0.0012010584096262544,0.0006131914878040323,-0.0004966681145803786,4.5876820736312496e-05,0.006204633222404832,0.011023252339640077,0.0010930083149609526
2007-04-05,0.0031176423449859048,0.0031598070569025527,-0.0012238021282083844,0.00041774542122374747,9.748377181906243e-05,0.0023512728437133923,0.003008106054209092,0.00018874067677399076
2007-04-09,0.000820418400704126,-0.002101132201664413,-0.003146589302329028,0.0007492705135956346,0.0007453914738682066,-0.003080517892104284,0.006955771396100152,-0.0005195851664530071
2007-04-10,0.002403489811458437,0.0035273303419403046,0.0018391607106766905,0.0006830922881235768,0.00022918039361741194,0.00971416015088522,0.003584491587417693,0.00039053804282063176
2007-04-11,-0.006496740254257727,-0.007689143979620061,-0.000372291942905556,0.0005195355453107009,0.00018330230559926441,-0.0007254064543038563,0.0034259056782564024,0.00034754288839922154
2007-04-12,0.005885301504021667,0.008416825237361314,0.0002238252841846311,0.000218461326463526,0.0001317243867657858,-0.0007304701323921359,-0.00029057097195983594,-0.0014133177134898478
2007-04-13,0.0035299980269447584,0.005316140430517757,-0.0011506691856660867,0.0007073240804365,0.00020042375307793847,0.0024018706440553927,0.005865011314800661,-0.0006791899633691312
2007-04-16,0.010420408271293535,0.014725444777751617,0.002166264305057064,0.0018014781186728168,0.0006297770016889803,0.012619239584371389,0.012053787964787954,0.0021791768002394907
2007-04-17,0.002004462954855235,-0.0029911096571830775,0.003053944260630992,0.0013842918073720956,0.00025747389500785367,0.0016952943281445254,-0.0022739555609939677,0.002052795288446374
2007-04-18,0.000735698689684483,-0.005523675566390773,0.002338288190365745,0.0011999578257502197,0.00027456812721649015,0.001120840943292789,-0.0028208168104330023,0.0022464305793081785
2007-04-19,-0.0016009274681587637,-0.0061353860635275925,-0.0006688670631268545,0.0006502428799237681,0.000280211359425353,-0.005985994022926988,-0.011632912430304954,0.000704123487563546
2007-04-20,0.008894597955201755,0.011642297458930306,0.00017447169120821115,0.0013297094852053881,0.00020581189935797717,0.00815353963239529,0.015803718644032738,0.0012369968398266984
